,link,Notebook neve,Raktáron,Ár,Régi Ár,Akciós Ár,Processzor leírás,Operációs rendszer,Memória,Háttértár,Grafikus vezérlő,Kijelző,Képfrissítés,Fényerő,LAN típus,Wi-Fi,Bluetooth,HDMI normál,USB 3.1,USB3.1 Type-C,Thunderbolt támogatás,Lighting csatlakozó,Optikai meghajtó,Billentyűzet,Audio leírás,Akkumulátor leírás,Méret,Súly,Garancia,Webkamera,USB 2.0,USB 3.0,Kártya olvasó,Extrák,További extrák,USB3.0 Type-C,Displayport mini,Érintő kijelző,HSDPA,VGA
0,https://www.notebook.hu/asus-rog-strix-g15-g512li-g512li-hn094-283082,"
Asus ROG Strix G15 G512LI (G512LI-HN094) fekete
",Raktáron,349 900 Ft,,,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Operációs rendszer nélkül,8GB DDR4 2933MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt WVA LCD (144Hz)",144 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 x 1.5W hangszóró W/O Smart AMP technológia, Array Mikrofon",3 cellás 48Whr beépített,360.00x275.00x25.80 mm,2.30 kg,36 hónap,,,,,,,,,,,
1,https://www.notebook.hu/msi-gf65-thin-10ue-9s7-16w212-025,"
MSI GF65 Thin 10UE (9S7-16W212-025) Fekete
",Raktáron,,Régi ár: 469 900 Ft,449 900 Ft,"Intel® Core™ i5-10200H Processor (8M Cache, up to 4.10)",FreeDos,16GB (2x8) DDR4 3200MHz RAM,512 GB NVMe PCIe Gen3x4 SSD,NVIDIA® GeForce™ RTX 3060 6GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD",144 Hz,,1000Mbps,802.11 ax,v 5.1,1 db,2 db,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású",1 db Mikrofon bemenet/Fejhallgató kimenet Combo Jack,3 cellás 51Whr beépített,359.00x254.00x21.70 mm,1.86 kg,36 hónap,HD type (30fps@720p),,,,,,,,,,
2,https://www.notebook.hu/msi-gf63-thin-10scsr-15-6-fhd-144hz-intel-core-i5-10300h-8gb-512gb-ssd-gtx-1650-4-ti-max-q-dos-black-292320,"
MSI GF63 Thin 10SCSR (9S7-16R412-1017HU) Fekete
",Raktáron,,Régi ár: 349 900 Ft,309 900 Ft,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",FreeDos,8GB DDR4 2666MHz RAM,512 GB NVMe PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti (Max-Q) 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS-level LCD (144 Hz)",144 Hz,,1000Mbps,802.11 ax,v 5,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2x 2W Hangszóró, 1 db Mikrofon bemenet, 1 db Fejhallgató kimenet Audio Jack",3 cellás 51Whr beépített,359.00x254.00x21.70 mm,1.86 kg,36 hónap,Beépített HD Webkamera (30fps@720p),,,,,,,,,,
3,https://www.notebook.hu/dell-g5-5500-g5500fi5ua1-285495,"
Dell G5 5500 (G5500FI5UA1) Fekete
",Raktáron,,Régi ár: 369 900 Ft,309 900 Ft,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Ubuntu (Linux),8GB (2x4) DDR4 2933MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt WVA LCD",60 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású",Realtek ALC3254 Nahimic 3D Audio technológia (2db 2W hangszóró) + dual tömbmikrofon,4 cellás 68Whr beépített,364.46x254.00x28.18 mm,2.55 kg,36 hónap,HD Webkamera (beépített),2 db,1 db,SD,Ujjlenyomat olvasó,,,,,,
4,https://www.notebook.hu/asus-vivobook-15-m509da-m509da-br988,"
Asus VivoBook 15 M509DA (M509DA-BR988) Szürke
",Raktáron,179 900 Ft,,,"AMD® Ryzen™ 3-3250U Quad-core 2.6 GHz Mobile APU (4M Cache, up to 3.5 GHz)",Operációs rendszer nélkül,4GB DDR4 2666MHz RAM,256 GB M.2 NVMe™ PCIe® 3.0 SSD,AMD Radeon™ Graphics,"15.6"" HD (1366 x 768) matt LCD",,200 nit,,802.11 ac,v 4.1,1 db,1 db,1 db,Nem,Nem,USB (vásárolható),Magyar kiosztású,"Audio by ICEpower®, SonicMaster (Close), Beépített hangszóró és mikrofon",2 cellás 32Whr beépített,360.00x235.00x22.90 mm,1.90 kg,24 hónap,Beépített VGA Webkamera,,2 db,microSD,TPM chip,,,,,,
5,https://www.notebook.hu/asus-rog-strix-g512li-g512li-al041,"
Asus ROG Strix G15 G512LI (G512LI-AL041) Fekete
",Raktáron,349 900 Ft,,,"Intel® Core™ i5-10300H Processor (8M Cache, up to 4.50 GHz)",Operációs rendszer nélkül,8GB DDR4 2933MHz RAM,512 GB M.2 NVMe™ PCIe® 3.0 SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD (144 Hz)",144 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 x 1.5W hangszóró W/O Smart AMP technológia, Array Mikrofon",3 cellás 48Whr beépített,360.00x275.00x25.80 mm,2.30 kg,36 hónap,,,,,,NumberPad támogatás,,,,,
6,https://www.notebook.hu/asus-rog-zephyrus-g14-ga401ii-ga401iu-he207-290923,"
Asus ROG Zephyrus G14 GA401II (GA401II-HE207) Szürke
",Raktáron,,Régi ár: 449 900 Ft,409 900 Ft,"AMD® Ryzen™ 7-4800HS 8-magos 2.9 GHz Mobile APU (8M Cache, up to 4.2 GHz)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1650Ti 4GB GDDR6,"14"" FullHD (1920 x 1080) matt WVA LCD (120Hz)",120 Hz,300 nit,,802.11 ax,v 5,1 db,,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 db 2,5 W-os hangszóró Okos erősítő technológiával;  2 db 0,7 W tweeterrel, Array mikrofonnal; Dolby Atmos technológiával",4 cellás 76Whr beépített,324.00x220.00x19.90 mm,1.60 kg,36 hónap,Nincs,,2 db,,VR Ready,,,,,,
7,https://www.notebook.hu/asus-rog-zephyrus-g14-ga401iu-ga401iu-he212-290925,"
Asus ROG Zephyrus G14 GA401IU (GA401IU-HE212) Szürke
",Raktáron,,Régi ár: 529 900 Ft,479 900 Ft,"AMD® Ryzen™ 9-4900HS 8-magos 3.0 GHz Mobile APU (8M Cache, up to 4.3 GHz)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,512GB M.2 PCIe SSD,NVIDIA® GeForce™ GTX 1660Ti 6GB GDDR6 (Max-Q Design),"14"" FullHD (1920 x 1080) matt WVA LCD (120Hz)",120 Hz,300 nit,,802.11 ax,v 5,1 db,,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 db 2,5 W-os hangszóró Okos erősítő technológiával;  2 db 0,7 W tweeterrel, Array mikrofonnal; Dolby Atmos technológiával",4 cellás 76Whr beépített,324.00x220.00x19.90 mm,1.60 kg,36 hónap,Nincs,,2 db,,VR Ready,,,,,,
8,https://www.notebook.hu/asus-zenbook-14-ux431fl-an014t-an014t,"
Asus ZenBook 14 UX431F (UX431FL-AN014T) Utópiakék/Ezüst
",Raktáron,299 900 Ft,,,"Intel® Core™ i5-8265U Processor (6M Cache, up to 3.90 GHz)",Microsoft Windows 10 Home,8GB LPDDR3 2133MHz RAM,256GB M.2 NVMe™ PCIe® 3.0 SSD,NVIDIA® GeForce™ MX250 2GB GDDR5,"14"" FullHD (1920 x 1080) fényes Wide View LED",60 Hz,250 nit,,802.11 ac,v 5,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","Négy hangszórós, Harman Kardon által tanúsított hangrendszer; ASUS SonicMaster sztereó audio rendszer surround hanggal; intelligens erősítővel a maximális hangteljesítményért Array mikrofon Cortana hangfelismerési támogatással",2 cellás 47Whr beépített,323.00x211.00x15.90 mm,1.45 kg,36 hónap,HD Webkamera (beépített),1 db,1 db,"SD, SDHX, SDXC",TPM chip,NumberPad,,,,,
9,https://www.notebook.hu/msi-gp66-leopard-10uh-9s7-154222-034,"
MSI GP66 Leopard 10UG (9S7-154222-034) Fekete
",Raktáron,,Régi ár: 919 900 Ft,899 900 Ft,"Intel® Core™ i7-10750H Processor (12M Cache, up to 5.00 GHz)",FreeDos,16GB (2x8) DDR4 3200MHz RAM,512 GB NVMe PCIe Gen3x4 SSD,NVIDIA® GeForce™ RTX 3080 8GB GDDR6,"15.6"" FullHD (1920 x 1080) matt IPS LCD",144 Hz,,1000Mbps,802.11 ax,v 5,1 db,3 db,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","1 db 3,5 Audio Jack",65Whr beépített,358.00x267.00x23.40 mm,2.38 kg,36 hónap,IR HD type (30fps@720p),,,,VR Ready,,,,,,
